who,tick,xcor-init-pos,ycor-init-pos,floor-id-init-pos,platform-init-pos,floor-x-init-pos,floor-y-init-pos,floor-transition,xcor-final-pos,ycor-final-pos,floor-id-final-pos,platform--final-pos,floor-x-final-pos,floor-y-final-pos,heading,crowdness-0.8,crowdness-1,crowdness-1.2,crowdness-1.4
394,22,45.60635428457874,10.096236606263163,1,1,14,9,none,45.60635428457874,10.096236606263163,1,1,14,9,23.53614989274257,0,0,0,0
394,23,45.72615256292862,10.371279098442837,1,1,14,9,none,45.72615256292862,10.371279098442837,1,1,14,9,23.53614989274257,0,0,0,0
394,24,45.845950841278494,10.646321590622511,1,1,14,10,none,45.845950841278494,10.646321590622511,1,1,14,10,23.536149892742515,0,0,0,0
394,25,45.772575503919626,10.937209988238285,1,1,14,10,none,45.772575503919626,10.937209988238285,1,1,14,10,345.8427221821771,0,0,0,0
394,26,45.69920016656076,11.228098385854059,1,1,14,10,none,45.69920016656076,11.228098385854059,1,1,14,10,345.8427221821771,0,0,0,1
394,27,45.62582482920189,11.518986783469833,1,1,14,11,none,45.62582482920189,11.518986783469833,1,1,14,11,345.84272218217717,0,0,0,1
394,28,45.55244949184303,11.809875181085607,1,1,14,11,none,45.55244949184303,11.809875181085607,1,1,14,11,345.8427221821773,0,0,1,1
394,29,45.504631299939454,12.112563425181124,1,1,14,11,none,45.504631299939454,12.112563425181124,1,1,14,11,345.84272218217717,0,1,1,1
394,30,45.46676521378014,12.423957780025718,1,1,13,11,none,45.46676521378014,12.423957780025718,1,1,13,11,345.03132422647263,0,1,1,1
394,31,45.42243819938336,12.73854454168947,1,1,13,12,none,45.42243819938336,12.73854454168947,1,1,13,12,343.50266576619185,0,1,1,1
394,32,45.36714701866174,13.056158138240471,1,1,13,12,none,45.36714701866174,13.056158138240471,1,1,13,12,341.4852509958755,0,1,1,1
394,33,45.29494599383591,13.376391801602749,1,1,13,12,none,45.29494599383591,13.376391801602749,1,1,13,12,338.7443584451216,0,1,1,1
394,34,45.1953549729231,13.69641844644647,1,1,13,13,none,45.1953549729231,13.69641844644647,1,1,13,13,334.68740374183204,0,1,1,1
394,35,44.99759545605299,13.988829750487836,1,1,13,13,none,44.99759545605299,13.988829750487836,1,1,13,13,315.7295725927231,0,1,1,1
394,36,44.7745717209423,14.238247055964695,1,1,13,13,none,44.7745717209423,14.238247055964695,1,1,13,13,315.09711579245993,0,1,1,1
394,37,44.562079171777626,14.450017961779205,1,1,13,13,none,44.562079171777626,14.450017961779205,1,1,13,13,314.9025438606172,0,0,1,1
394,38,44.349586622612954,14.661788867593714,1,1,12,14,none,44.349586622612954,14.661788867593714,1,1,12,14,314.9025438606172,0,0,0,1
394,39,44.13709407344828,14.873559773408223,1,1,12,14,none,44.13709407344828,14.873559773408223,1,1,12,14,314.9025438606172,0,0,0,0
394,40,43.92460152428361,15.085330679222732,1,1,12,14,none,43.92460152428361,15.085330679222732,1,1,12,14,314.90254386061713,0,0,0,0
394,41,43.71210897511893,15.297101585037241,1,1,12,14,none,43.71210897511893,15.297101585037241,1,1,12,14,314.9025438606171,0,0,0,0
394,42,43.49961642595426,15.50887249085175,1,1,11,15,none,43.49961642595426,15.50887249085175,1,1,11,15,314.90254386061713,0,0,0,0
394,43,43.287123876789586,15.72064339666626,1,1,11,15,none,43.287123876789586,15.72064339666626,1,1,11,15,314.90254386061713,0,0,0,0
394,44,43.07463132762491,15.932414302480769,1,1,11,15,none,43.07463132762491,15.932414302480769,1,1,11,15,314.9025438606171,0,0,0,0
394,45,42.862138778460235,16.14418520829528,1,1,11,15,none,42.862138778460235,16.14418520829528,1,1,11,15,314.90254386061713,0,0,0,0
394,46,42.649646229295556,16.35595611410979,1,1,11,15,none,42.649646229295556,16.35595611410979,1,1,11,15,314.902543860617,0,0,0,0
394,47,42.437153680130876,16.567727019924302,1,1,10,16,none,42.437153680130876,16.567727019924302,1,1,10,16,314.9025438606171,0,0,0,0
394,48,42.224661130966204,16.779497925738813,1,1,10,16,none,42.224661130966204,16.779497925738813,1,1,10,16,314.90254386061713,0,0,0,0
394,49,42.012168581801525,16.991268831553324,1,1,10,16,none,42.012168581801525,16.991268831553324,1,1,10,16,314.902543860617,0,0,0,0
394,50,41.799676032636846,17.203039737367835,1,1,10,16,none,41.799676032636846,17.203039737367835,1,1,10,16,314.902543860617,0,0,0,0
394,51,41.587183483472174,17.414810643182346,1,1,10,16,none,41.587183483472174,17.414810643182346,1,1,10,16,314.90254386061713,0,0,0,0
394,52,41.374690934307495,17.626581548996853,1,1,9,17,STAIR,10.374690934307495,17.626581548996853,0,0,9,17,314.90254386061684,0,0,0,0
394,53,10.162198385142819,17.838352454811364,0,0,9,17,none,10.162198385142819,17.838352454811364,0,0,9,17,314.9025438606172,0,0,1,1
394,54,10.516521929056452,17.784663363299252,0,0,10,17,none,10.516521929056452,17.784663363299252,0,0,10,17,88.4138967469471,0,1,1,1
394,55,10.81629087535196,17.79643531457679,0,0,10,17,none,10.81629087535196,17.79643531457679,0,0,10,17,87.7511455473931,0,0,0,0
394,56,11.116059821647468,17.80820726585433,0,0,10,17,none,11.116059821647468,17.80820726585433,0,0,10,17,87.7511455473931,0,0,0,0
394,57,11.415828767942976,17.819979217131866,0,0,10,17,none,11.415828767942976,17.819979217131866,0,0,10,17,87.75114554739304,0,0,0,0
394,58,11.715597714238484,17.831751168409404,0,0,11,17,none,11.715597714238484,17.831751168409404,0,0,11,17,87.75114554739298,0,0,0,0
394,59,12.614904553125008,17.867067022242022,0,0,12,17,none,12.614904553125008,17.867067022242022,0,0,12,17,87.75114554739298,0,0,0,0
394,60,13.514211392011532,17.90238287607464,0,0,13,17,none,13.514211392011532,17.90238287607464,0,0,13,17,87.75114554739298,0,0,0,0
394,61,14.413518230898056,17.937698729907257,0,0,13,17,none,14.413518230898056,17.937698729907257,0,0,13,17,87.75114554739298,0,0,0,0
394,62,15.31282506978458,17.97301458373988,0,0,14,17,none,15.31282506978458,17.97301458373988,0,0,14,17,87.75114554739292,0,0,0,0
394,63,15.612594016080088,17.984786535017417,0,0,15,17,none,15.612594016080088,17.984786535017417,0,0,15,17,87.7511455473931,0,0,0,0
394,64,15.719551238129782,18.26507237599304,0,0,15,17,none,15.719551238129782,18.26507237599304,0,0,15,17,20.8868802695323,0,0,0,0
394,65,15.826508460179475,18.545358216968662,0,0,15,18,none,15.826508460179475,18.545358216968662,0,0,15,18,20.8868802695323,0,0,0,0
394,66,16.025387253115774,18.769962815586325,0,0,15,18,none,16.025387253115774,18.769962815586325,0,0,15,18,41.523663109433414,0,0,0,0
394,67,16.224266046052072,18.99456741420399,0,0,15,18,none,16.224266046052072,18.99456741420399,0,0,15,18,41.523663109433414,0,0,1,1
394,68,16.55477051494371,19.14526916345086,0,0,16,18,none,16.55477051494371,19.14526916345086,0,0,16,18,41.523663109433414,0,1,1,1
394,69,16.739164171568344,19.381910198346745,0,0,16,18,none,16.739164171568344,19.381910198346745,0,0,16,18,37.92616780739047,0,0,0,0
